schools-ID,x-coordinate,y-coordinate,Num-student
92, 114.0135224, 22.72799984, 24
83, 114.041103, 22.59806904, 10
173, 114.398595, 22.63845821, 13
538, 113.9554493, 22.74093736, 4
58, 114.1115702, 22.6101334, 4
483, 113.9635241, 22.57057261, 1
139, 113.9414054, 22.56276132, 2
184, 113.9198768, 22.73028309, 10
1859, 114.41542533933438, 22.676975223363357, 0
1842, 113.93741818799282, 22.522709370347897, 0
156, 113.836729, 22.77085636, 9
303, 113.902914, 22.57945258, 0
318, 113.8319602, 22.63381959, 1
463, 113.9187808, 22.53120662, 3
1237, 114.0178647, 22.65794175, 3
305, 114.2986969, 22.77008171, 10
106, 113.9020774, 22.56721905, 7
1839, 114.00260091760106, 22.559646258822855, 0
1407, 114.0459065, 22.56872832, 3
1843, 113.90917233736468, 22.605274185213744, 0
2, 114.1104524, 22.61226424, 33
882, 114.2707577, 22.58889099, 1
1408, 114.018013, 22.55598525, 1
106, 113.8365614, 22.6489862, 14
280, 113.8873012, 22.49171205, 2
124, 114.1171433, 22.58022318, 10
12, 114.026119, 22.60281383, 23
878, 114.0669813, 22.53888678, 4
301, 114.1004857, 22.65773277, 2
382, 113.8358046, 22.80133241, 0
219, 114.2153776, 22.70952644, 13
147, 113.9530921, 22.79505656, 8
1390, 114.0113338, 22.54094855, 5
27, 114.0384238, 22.54794425, 9
112, 113.8922981, 22.57494035, 20
624, 113.9385719, 22.80087984, 2
437, 113.8557334, 22.65535098, 14
2, 114.095055, 22.55916526, 4
1833, 114.0564157, 22.67397487, 1
1840, 114.05257434572822, 22.507500064508207, 0
440, 114.0496855, 22.71974813, 4
458, 113.9870844, 22.5916808, 1
728, 114.3711967, 22.74165107, 2
49, 114.1150198, 22.56263599, 31
525, 113.9438209, 22.54911167, 1
294, 114.2185909, 22.61962204, 16
1082, 114.2315562, 22.74848907, 2
883, 114.2461318, 22.59296281, 1
218, 114.1230041, 22.55053121, 7
1051, 114.1282237, 22.70411452, 3
1846, 114.3002689033122, 22.690011777088884, 0
84, 114.0495405, 22.59965055, 9
14, 114.0416851, 22.5677473, 15
1068, 114.2406833, 22.71509973, 2
343, 113.9369658, 22.6279399, 0
343, 113.8733376, 22.80061974, 1
1142, 114.2752894, 22.69909332, 1
1230, 114.0356296, 22.75006837, 1
1178, 114.3975034, 22.63867113, 2
28, 114.2109974, 22.71058323, 83
1221, 114.025327, 22.64410502, 3
1298, 114.0339804, 22.67824772, 2
1847, 114.07430192492033, 22.61613797803864, 0
412, 114.1936691, 22.65522272, 17
821, 114.0467057, 22.70150378, 2
1853, 114.3198237583504, 22.620483495254735, 0
346, 113.9928238, 22.6697487, 5
1844, 114.18945812857922, 22.657420393520844, 0
462, 114.218262, 22.70350194, 15
1154, 114.2335698, 22.66402308, 1
203, 114.0486133, 22.54572489, 12
1073, 114.1137485, 22.68970835, 2
597, 113.8924688, 22.78785732, 3
1115, 114.2315978, 22.69252256, 2
385, 113.8092739, 22.70581523, 2
323, 114.2641171, 22.73798272, 28
1243, 114.0086654, 22.63134455, 2
211, 113.916807, 22.72566634, 8
1229, 113.989099, 22.67451893, 1
479, 113.9687935, 22.55608872, 0
1074, 114.230581, 22.71710663, 1
286, 114.0469364, 22.64037696, 3
608, 113.9097773, 22.76039511, 2
599, 113.9272366, 22.73056127, 1
132, 113.9169562, 22.54818132, 5
320, 113.9174411, 22.67537261, 0
455, 113.9094014, 22.53718549, 1
101, 114.0652063, 22.55518777, 10
1845, 114.18945812857922, 22.655247634705894, 0
1858, 114.32199652028622, 22.70739384932237, 0
362, 113.8339901, 22.73463248, 0
339, 113.7960411, 22.67036897, 1
1227, 114.0644939, 22.72040947, 1
1219, 114.0576514, 22.72040919, 2
306, 113.8710768, 22.57760267, 2
1302, 114.017572, 22.74026468, 1
342, 113.9669992, 22.62448305, 2
1841, 113.9613185223211, 22.553127984097845, 0
154, 113.9332828, 22.69119982, 0
321, 113.9309176, 22.68252059, 1
1850, 114.29592338053824, 22.598755909668263, 0
731, 114.3925853, 22.75308999, 1
1393, 114.0430792, 22.51612956, 1
725, 114.381016, 22.69893743, 1
162, 113.8344012, 22.73466123, 1
1836, 114.17207605532056, 22.603101426686038, 0
409, 113.9173765, 22.65251859, 0
596, 113.9059378, 22.77332882, 2
145, 113.8946961, 22.76631774, 14
1854, 114.04822883004532, 22.60744694375393, 0
532, 113.9684818, 22.56243403, 1
684, 114.2165794, 22.55675978, 1
871, 114.0712981, 22.54529076, 1
1856, 113.97652782581527, 22.67045694664854, 0
541, 113.9478851, 22.63628099, 0
607, 113.9348751, 22.75531034, 1
37, 113.8575476, 22.66873178, 4
61, 114.3243912, 22.73825933, 33
264, 113.8997737, 22.51209673, 6
28, 113.9127016, 22.50412355, 14
53, 114.1039334, 22.59992917, 37
1332, 114.0822549, 22.73675821, 2
169, 114.1234228, 22.56673332, 10
400, 114.0272975, 22.74138882, 3
1, 114.0638116, 22.62506178, 11
307, 114.287889, 22.72307688, 13
11, 113.9495485, 22.54063909, 197
1076, 114.2070235, 22.66288376, 2
50, 114.1292601, 22.56291605, 12
333, 113.8827467, 22.56853415, 3
3, 114.0874806, 22.55269337, 11
1065, 114.3112143, 22.7781768, 2
24, 114.1483764, 22.61584454, 13
258, 114.0397592, 22.59965181, 2
727, 114.3438534, 22.69361242, 2
633, 113.9105829, 22.7217221, 2
12, 113.8425345, 22.73227453, 91
47, 113.9159937, 22.49626505, 21
732, 114.3320219, 22.68758546, 2
406, 113.872711, 22.55648831, 1
315, 114.3537678, 22.72485176, 7
7, 114.0744233, 22.55972382, 8
311, 113.813731, 22.73120746, 2
1087, 114.2814846, 22.75480523, 2
250, 114.0285019, 22.63620018, 23
2, 113.992699, 22.70315604, 7
1838, 114.06561089307708, 22.53574591876449, 0
35, 114.1210871, 22.60144657, 3
1413, 114.0461958, 22.52781667, 1
357, 113.8091422, 22.75874576, 1
1090, 114.278921, 22.73135842, 2
1050, 114.1727569, 22.64463571, 3
138, 114.0598437, 22.53271154, 8
332, 113.8296598, 22.73071056, 1
1231, 114.0082394, 22.66282965, 2
693, 114.1732818, 22.60539133, 3
482, 114.0067812, 22.59893324, 1
229, 114.1463901, 22.55617025, 4
726, 114.3409104, 22.68026385, 2
1835, 114.07212916693719, 22.598755909668263, 0
1391, 114.0315036, 22.56383053, 4
1851, 114.23943160174058, 22.61831073664058, 0
317, 113.8396419, 22.71903215, 2
37, 114.3477684, 22.70603955, 212
74, 114.139176, 22.60691245, 4
1, 114.0985039, 22.56191059, 16
620, 113.9913012, 22.73923728, 2
889, 114.309566, 22.60244741, 2
272, 113.947196, 22.54542991, 4
241, 114.1584883, 22.56576923, 8
113, 113.9916585, 22.54994516, 7
468, 113.9236482, 22.50573715, 0
13, 114.092794, 22.54880699, 4
337, 113.8208289, 22.77852113, 4
1058, 114.0701533, 22.65422694, 4
108, 113.8909235, 22.56362014, 7
87, 113.8165886, 22.74648029, 48
320, 114.2729687, 22.69881083, 14
347, 113.8141384, 22.74214501, 3
454, 113.9147756, 22.50230302, 1
12, 113.9113222, 22.57536023, 30
1852, 114.2872323355894, 22.603101426686038, 0
1088, 114.3235701, 22.77429867, 2
1409, 114.0204033, 22.52962126, 1
308, 113.8425135, 22.76298319, 0
1861, 114.34806966784348, 22.635692805892084, 0
304, 113.7859447, 22.69754333, 1
348, 113.8555126, 22.80152645, 1
31, 114.252795, 22.72976183, 22
213, 114.0532175, 22.53031133, 12
361, 113.9120505, 22.57066024, 1
54, 113.9555361, 22.74191087, 12
185, 114.0335776, 22.68570394, 15
205, 114.1329896, 22.5590596, 8
419, 113.8837617, 22.66892465, 0
11, 114.1189957, 22.59474725, 22
32, 114.2417657, 22.70691407, 34
24, 114.1256927, 22.59314609, 6
1222, 114.0449546, 22.6961237, 2
8, 114.0083499, 22.63529777, 24
32, 114.1342023, 22.69909419, 23
1220, 114.0868068, 22.698374, 3
707, 114.1725753, 22.56719161, 6
19, 114.1202791, 22.59279885, 8
323, 113.796559, 22.7226197, 1
16, 114.1264577, 22.60106998, 28
310, 113.8368033, 22.78445901, 2
1139, 114.1385731, 22.62852203, 2
169, 113.8392275, 22.70940501, 10
103, 114.1084048, 22.62128041, 3
1862, 114.26550472658485, 22.659593152347203, 0
472, 113.8920223, 22.50545047, 1
1834, 114.10906605498374, 22.546609709494888, 0
366, 114.1164567, 22.69397272, 13
146, 113.8819519, 22.78431814, 18
28, 114.1046557, 22.59398831, 6
1055, 114.1929177, 22.64834688, 2
1266, 114.0526958, 22.74995984, 1
305, 113.8524194, 22.61273559, 1
106, 114.1448987, 22.612774, 3
605, 113.9272376, 22.79252871, 1
1855, 114.05909261934382, 22.724775922219873, 0
467, 113.9611238, 22.54367309, 1
346, 113.8852936, 22.55847545, 1
399, 113.8167886, 22.677837, 1
62, 114.3638261, 22.74511559, 17
369, 113.7823706, 22.73801849, 0
324, 113.8967776, 22.56169212, 2
337, 114.3268399, 22.66954748, 10
1248, 114.0730802, 22.68865243, 1
187, 113.9931461, 22.59076455, 6
25, 113.8736547, 22.60193417, 17
248, 114.0510479, 22.59491539, 3
18, 114.0972231, 22.54143887, 3
1136, 114.217195, 22.62788429, 2
144, 113.9337818, 22.7618021, 10
1848, 114.49799044731319, 22.542264193161326, 0
745, 114.3606856, 22.69001184, 2
456, 113.9124134, 22.52461822, 3
1226, 113.9935558, 22.70272955, 0
460, 113.9569767, 22.59588934, 2
36, 114.1075515, 22.54658266, 78
164, 114.1279367, 22.57240637, 6
755, 114.4066975, 22.7635882, 2
1153, 114.4903355, 22.53765634, 1
19, 113.8700743, 22.55588368, 22
513, 113.9047839, 22.51303554, 1
149, 113.8560451, 22.76570723, 2
8, 114.0889951, 22.55683072, 0
356, 113.9355096, 22.68916665, 0
33, 114.1469336, 22.6788307, 19
690, 114.2309814, 22.56154957, 1
307, 113.8498845, 22.59552003, 2
480, 113.9737498, 22.62394132, 1
459, 113.9145938, 22.54666141, 2
1099, 114.3287404, 22.78805421, 2
388, 113.8003849, 22.74307814, 8
148, 113.8967735, 22.73733075, 11
14, 114.1264577, 22.60106998, 32
1857, 114.00260091760106, 22.750849032760904, 0
1066, 114.2556107, 22.72949293, 3
31, 114.1193772, 22.58155327, 10
1062, 114.3039771, 22.72151924, 4
1395, 114.0523589, 22.5244031, 5
55, 114.1054558, 22.60753083, 4
470, 113.9171848, 22.491473, 4
297, 114.2206988, 22.67479119, 9
594, 113.9009591, 22.73699951, 1
4, 114.2780744, 22.78227554, 14
23, 114.0360777, 22.61330429, 19
730, 114.3778884, 22.75466395, 2
590, 114.2819536, 22.73405987, 4
1240, 114.0299173, 22.63171636, 3
408, 114.302168, 22.60419543, 2
293, 114.1717196, 22.60560437, 4
464, 113.9831187, 22.53829967, 0
1, 114.0827477, 22.55702068, 38
36, 114.1909935, 22.64154101, 14
1404, 114.0355788, 22.54998474, 4
25, 113.9352588, 22.75252555, 22
674, 113.7883502, 22.70651342, 2
93, 114.1647452, 22.56602095, 6
1837, 114.16990329630522, 22.57702832534373, 0
1067, 114.0518838, 22.6424242, 5
259, 114.0433294, 22.61494276, 5
20, 114.1070444, 22.61512856, 16
313, 113.8490645, 22.6110715, 4
255, 113.9224168, 22.52175518, 12
290, 114.1319739, 22.64315745, 7
15, 114.2289843, 22.55465403, 12
36, 113.981697, 22.54120672, 31
256, 114.0511503, 22.61794283, 5
56, 114.1798333, 22.65254227, 4
68, 114.2776236, 22.78295584, 36
131, 113.9005412, 22.54198334, 6
69, 114.1428982, 22.62017946, 20
224, 114.0369986, 22.5279957, 6
1, 114.0947075, 22.56348885, 3
150, 113.8681099, 22.80424704, 0
1138, 114.1497555, 22.65411804, 2
91, 114.215309, 22.55993819, 3
724, 114.2837084, 22.66742362, 2
322, 114.4104095, 22.63463372, 1
122, 113.8635089, 22.56682005, 24
583, 113.9417593, 22.5251561, 2
1234, 114.0304339, 22.71348567, 2
589, 114.1070929, 22.65326972, 1
1241, 114.0207572, 22.73373868, 0
1860, 114.35893348177022, 22.69218453608097, 0
3, 114.08199, 22.55050255, 11
18, 113.9138321, 22.57417161, 29
1103, 114.0685704, 22.63241179, 2
317, 114.33021, 22.69639271, 13
352, 113.858524, 22.64971015, 1
1849, 114.25898644478401, 22.61831073664058, 0
767, 114.3853917, 22.72356525, 2
15, 113.8092739, 22.70581523, 9
904, 114.2731798, 22.63296093, 2
355, 114.0378486, 22.67362562, 10
462, 113.9239807, 22.51041167, 4
1056, 114.1442778, 22.69470532, 2
386, 113.8572696, 22.58052916, 3
1223, 113.9986985, 22.67621438, 2
600, 113.8963822, 22.75308501, 1
588, 114.2966103, 22.77149272, 3
1049, 114.2342545, 22.64869853, 2
1070, 114.2083112, 22.71016104, 2
1053, 114.2259723, 22.72781478, 3
330, 113.8529902, 22.76248764, 1
315, 113.9626144, 22.70554424, 0
465, 113.9416344, 22.59001494, 2
27, 113.8875691, 22.76634594, 47
46, 113.9343726, 22.69337751, 1
1114, 114.2208758, 22.67998515, 1
887, 114.2991779, 22.60372363, 2
190, 113.9820502, 22.54016474, 8
467, 114.2312904, 22.70918313, 23
17, 114.0696339, 22.57201316, 4
409, 114.2568866, 22.59128337, 4
1256, 114.0010561, 22.68255276, 2
248, 114.0795182, 22.63437414, 9
13, 114.1273117, 22.55232136, 31
11, 113.9842434, 22.59357109, 10
279, 113.9155133, 22.48848743, 3
358, 113.9268269, 22.69852648, 0
723, 114.3595821, 22.73056456, 2
336, 113.8876299, 22.58130424, 4
739, 114.3066174, 22.67652697, 2
1388, 114.068129, 22.51962536, 1
6, 113.823794, 22.74682377, 11
1232, 114.0448079, 22.71083119, 2
217, 114.0216586, 22.54208411, 6
304, 114.3207393, 22.79106247, 7
434, 113.9028057, 22.58392709, 3
474, 113.905295, 22.48226047, 0
313, 114.3758742, 22.74040997, 7
862, 114.0786001, 22.54360796, 5
1060, 114.2033003, 22.65251987, 2
417, 113.8532644, 22.56561573, 3
440, 113.9494523, 22.68752267, 0
351, 113.8802701, 22.60327339, 3
1568, 113.8245207, 22.70319838, 0
10, 113.9034759, 22.75829947, 15
365, 114.1222053, 22.69299894, 15
