OFFID,Attractiveness
494,0
236,0
85,0
232,0
50,-0.9155772995515852
331,0
18,-2.22354486853582
66,-0.4483187017472297
146,0
266,-1.8005908091929868
159,-76.79411151108026
379,-0.36011816208731434
420,-1.4404726459873838
431,-98.33999972692251
489,0
12,-0.5365192418883198
19,0
55,0
479,0
293,-1.4507967529769905
250,-0.7555165391554576
486,0
192,-1.494692742827203
452,0
274,-0.4659588103311707
329,-0.2542775133637215
5,-4.5111512251436165
326,-0.3953983774798605
107,0
257,-3.7642504798998613
380,-0.8260769721708989
160,-0.36011816141710773
306,-90.41999912907902
243,0
119,0
22,-1.4843686493736619
103,0
349,0
113,0
58,0
136,0
31,0
141,-0.4835989156432877
76,0
177,0
79,-7.065550258639282
334,-4.592927019581576
350,-0.46595880991871597
282,0
189,0
325,0
317,0
222,0
247,-0.8759891876061505
233,0
383,-1.3449561071190392
8,0
121,-0.5791154499963521
48,0
465,-1.7227143736788675
20,0
459,0
27,0
91,-3.163187019201065
446,-1.080354483785279
396,-0.656991891217874
280,-0.4483187010699136
312,0
433,0
60,0
126,0
398,-3.5865496084310236
24,0
477,0
320,-0.41303848592455905
138,-3.321539461724799
314,0
127,0
178,-2.457582696273167
97,0
300,0
184,-2.214929078875398
183,-0.34247805342141774
291,0
367,-0.5791154586238709
71,-0.3777582696088553
244,-3.0719783714038367
432,-79.4048478025693
484,0
217,0
163,-2.5427751292954515
224,0
63,0
174,0
137,-1.7227143749588298
268,-4.034868282549121
104,-1.7799425952969234
164,-1.027434162828224
425,0
289,0
240,-0.36011816188619333
493,0
226,0
406,-0.6599999983954344
255,0
196,0
197,0
45,0
15,0
120,0
131,-5.22236322382087
101,0
482,0
216,0
466,0
75,0
412,-0.8966374035788418
278,0
283,0
44,0
495,0
336,-0.46595880979432736
93,-0.5012390261920958
321,0
4,0
86,0
288,-1.292035764517899
258,-2.447258596938231
116,0
339,0
405,-0.5541593499699178
365,-0.8966374022776717
454,0
407,0
429,-0.23663740505085276
476,0
100,-90.41999934848414
57,-0.6496758908289594
94,0
252,-2.37239025888873
292,0
457,0
23,0
157,-1.2993517817216067
262,0
378,-1.7373463761510208
202,-71.08904066585171
395,0
13,0
82,0
69,-2.7699796751565717
340,-1.3449561071087828
440,-3.5732173967059735
471,0
470,-0.5365192420642111
450,0
253,-1.3286157846037183
17,0
212,0
443,0
361,0
99,-1.83717080819739
84,-2.606019556094646
346,0
254,-78.69452678307921
374,0
455,0
112,-2.572039131686874
363,-1.0171100503794215
34,0
461,-1.863835243247164
385,0
225,0
301,-3.0719783805944316
165,-1.7227143788193573
118,0
323,0
342,0
373,0
451,0
172,0
345,0
92,-2.004956087861902
422,0
32,-0.8613571873033141
442,0
239,-74.57999962670276
111,0
462,0
16,0
204,0
169,-0.48359891795932575
464,0
228,-70.56756162906844
391,0
411,-0.28955772918942174
298,0
263,0
389,0
206,-1.5282646530633375
65,-21.54521909364087
488,0
73,-2.1013638955838476
122,0
468,0
28,-1.0024780514505929
269,0
417,-2.8955772979095467
261,0
33,0
161,0
335,0
235,-9.339824387461093
74,-0.9215935132973317
238,-0.5188791333369237
102,0
437,-0.8686731884181631
61,-2.4089702680938845
108,-1.7227143780407546
304,0
343,0
276,0
316,0
299,-97.01999933427193
352,0
229,-3.0147501571852877
441,-0.5365192427513831
182,0
59,0
423,-0.5085550269109691
223,-0.5188791340276773
43,-4.7374645241589395
287,-15.882744430627042
200,-2.598703568233091
445,0
227,0
275,0.2832092267331006
382,-1.4095003238426893
402,-4.155340969966736
29,0
281,0
109,0
179,0
114,0
81,-0.5365192413857908
123,-83.16048168761404
77,-2.160708965038553
436,0
475,-0.5365192419204299
473,0
89,0
260,-0.6599999980098171
259,-0.8157528637999871
285,-1.7132815231191683
414,-1.9034233477920202
38,-4.659588100572135
180,0
134,0
315,-1.7519783793120658
2,-1.369912217093317
497,0
418,-2.7957528606227826
52,0
147,0
110,0
376,-0.46595880971613457
394,0
40,0
404,-0.25427751335759247
483,0
117,0
36,0
231,-0.47758270393600544
480,-0.39539837810432393
167,0
154,0
209,-78.3507488370467
37,0
87,0
410,-25.682028775800603
130,0
284,0
467,-17.820556839419506
214,-1.3978764295315185
186,0
191,-0.30719783688851443
272,0
78,0
401,0
88,-2.598703560580336
448,-0.39539837758698215
426,0
496,-4.053808205681014
70,-0.5188791338958658
472,0
332,-73.0234361049833
413,0
290,0
207,0
53,0
434,-1.584193084223468
54,-1.8371708078472793
145,0
393,-0.4659588096317987
162,0
463,0
30,-3.6011815943496024
26,0
124,0
25,-3.7173463658209585
62,0
139,-0.47327481017653067
39,-2.447258591093976
10,-3.8761073384378393
248,-0.4306785938254189
21,0
140,-1.183187028624252
7,-96.42372594472225
360,-0.7907967549162664
485,0
386,0
372,0
133,0
362,-0.4483187017576482
341,-1.8371708107830953
419,0
9,0
309,0
181,0
415,0
237,0
308,0
41,-0.7907967555104746
371,0
155,-0.5717994568402016
198,0
338,0
83,-0.36743416303166465
271,0
142,-1.1332748080692236
221,0
47,-7.511269317106383
313,0
211,-2.1013638930344825
175,-9.618315148316043
490,0
64,-110.87999926159029
478,-2.4911545970875766
72,0
135,0
354,-2.447258590718663
0,-0.4130384859267302
173,-1.7468534227523387
149,-4.053808204120012
311,0
491,0
344,-7.421843192335109
270,0
241,-4.631215341767064
384,-0.762832541949509
355,-101.96531960899343
303,0
430,-0.8966374033555328
56,-0.6789398854824655
215,0
416,0
390,0
210,0
105,0
333,-3.8980553369686763
337,-1.087670484639908
277,0
369,-2.5840715604836775
49,0
3,-87.1199995825592
353,0
428,0
359,0
438,0
330,-79.19576531240453
168,-15.559057864835296
42,0
67,0
351,0
6,-99.6599992272276
368,-1.6564618369151918
364,0
129,0
458,0
143,0
400,0
421,0
1,0
220,-3.549561074312459
95,0
453,0
447,0
187,-0.7555165394881601
35,0
397,0
387,-0.3601181618003295
456,0
403,0
366,0
265,0
427,0
322,0
245,0
193,-0.6599999988149118
469,-3.3056076693932273
460,0
302,-2.598703559586138
218,0
90,-0.82607697159038
357,-1.8887913455506042
327,0
