CID,Capacity,Price,long,Lat
0,22,15000,115.92152,39.928172
1,20,14000,116.75495,40.045067
2,31,22000,116.306061,39.854053
3,16,20000,116.306745,39.820115
4,9,13000,116.468124,39.778084
5,29,11000,116.755766,40.403976
6,17,9000,116.075776,40.465731
7,9,12000,116.096266,40.348453
8,10,12000,116.845319,39.702232
9,18,18000,116.299055,40.033802
10,16,12000,117.003784,40.076209
11,39,30000,116.517827,40.042552
12,27,13000,116.332619,39.608799
13,18,14000,116.031294,40.004443
14,134,13000,116.644084,39.859663
15,16,13000,116.76961,39.883952
16,10,13000,116.626197,40.204222
17,10,12000,116.77839,40.561429
18,33,13000,116.18168,39.694048
19,12,10000,116.971992,40.368991
20,20,14000,116.459931,40.106831
21,10,12000,116.625049,40.18283
22,34,13000,115.79756,39.733809
23,7,25000,116.457125,39.876425
24,12,13000,115.848685,39.581991
25,31,11000,117.143974,40.164394
26,13,13000,116.73172,39.853553
27,21,12000,116.518788,39.650084
28,22,13000,116.78365,40.20313
29,14,16000,116.41242,39.864573
30,18,30000,116.572892,39.924122
31,14,12000,116.829272,40.170029
32,21,13000,116.425388,40.137807
33,8,14000,116.384018,40.058315
34,13,14000,116.242591,40.144915
35,17,10000,117.278399,40.655762
36,9,22000,116.239055,39.956813
37,20,18000,116.228499,39.828155
38,34,20000,116.39471,40.017679
39,31,13000,116.029816,39.769082
40,22,12000,116.437875,39.78605
41,21,14000,115.95464,40.224975
42,10,20000,116.189896,40.04299
43,36,13000,116.605751,39.750695
44,9,18000,116.254165,40.027506
45,8,16000,115.597256,39.849552
46,31,13000,116.649679,40.061703
47,10,11000,116.760058,40.291387
48,12,13000,116.67267,40.091822
49,22,8000,116.27331,40.641761
50,35,14000,116.281348,39.788663
51,36,30000,116.403336,39.896039
52,10,15000,115.959937,39.976704
53,18,18000,116.139524,39.776494
54,30,12000,116.709766,39.786602
55,12,12000,116.669467,39.900488
56,33,8000,116.64726,40.307861
57,27,13000,116.039904,40.291942
58,14,10000,116.511924,40.265493
59,12,13000,115.949874,40.100767
60,8,10000,116.855679,40.300463
61,33,14000,116.149125,39.998152
62,13,12000,116.869115,40.074667
63,8,35000,116.352465,39.896483
64,16,14000,116.277699,39.652685
65,33,14000,116.376817,39.68756
66,22,13000,116.339859,39.702954
67,18,20000,116.466729,39.959755
68,32,20000,116.098935,40.101004
69,39,12000,116.743943,39.9491
70,9,13000,116.140395,40.333389
71,16,13000,116.429538,39.676791
72,10,13000,115.947259,39.71456
73,39,13000,116.342773,40.12837
74,27,16000,116.210324,39.86539
75,21,8000,116.773497,40.803966
76,20,14000,115.992555,40.100064
77,30,11000,117.079085,40.521383
78,21,14000,116.036473,39.946709
79,39,16000,116.315098,39.959273
80,32,12000,116.547752,39.815914
81,10,10000,116.534066,40.522534
82,12,9000,115.89874,40.489338
83,26,16000,116.286954,39.940648
84,36,10000,117.092621,40.211389
85,10,12000,115.782498,39.546062
86,17,9000,116.155824,40.56482
87,21,13000,116.366556,39.484215
88,29,12000,116.665774,39.701672
89,8,13000,116.528732,40.159364
90,20,14000,115.990687,39.859494
91,29,13000,116.690234,40.209641
92,16,12000,116.627724,40.767323
93,18,16000,116.384633,39.851319
94,18,12000,116.750435,39.849403
95,8,14000,115.855975,40.145824
96,84,13000,116.416247,39.739368
97,12,30000,116.470251,40.044944
98,38,30000,116.496927,39.833527
99,34,12000,116.628918,40.125539
100,16,13000,116.407046,40.085685
101,10,12000,116.627799,40.639385
102,10,11000,117.305852,40.15658
103,12,13000,115.494961,39.718133
104,31,16000,116.217321,40.098376
105,18,11000,116.878587,40.565133
106,35,14000,116.304916,40.163506
107,22,12000,117.007016,40.276994
108,27,25000,116.584538,40.000705
109,10,12000,115.935479,39.67932
110,7,9000,115.918034,40.380233
111,9,12000,116.573195,40.386579
112,33,12000,116.112189,39.725955
113,17,14000,116.268054,39.722538
114,16,13000,116.748966,39.71231
115,32,14000,116.487188,39.587796
116,7,13000,115.702551,39.757412
117,21,14000,115.833611,40.047136
118,14,14000,116.245074,40.197956
119,12,12000,116.511221,39.757317
120,10,11000,116.896611,40.249189
121,10,18000,116.286776,39.944801
122,23,14000,116.280084,40.148673
123,8,13000,116.17929,40.27149
124,10,25000,116.448724,39.947421
125,37,20000,116.09098,39.795418
126,10,13000,115.712808,39.589693
127,8,12000,116.585712,40.217179
128,33,20000,116.529055,39.93821
129,22,13000,116.420578,40.274241
130,20,14000,116.193424,39.94459
131,33,12000,116.684475,40.007839
132,16,12000,116.760058,40.291387
133,7,11000,116.853496,40.388545
134,12,10000,116.881118,40.452885
135,10,18000,116.364294,39.849929
136,22,12000,116.957752,40.150881
137,31,15000,115.727399,39.926574
138,38,16000,116.150727,39.853559
139,27,12000,116.714723,40.129679
140,31,18000,116.209954,39.996314
141,12,8000,116.332501,40.561238
142,25,12000,116.808227,40.215524
143,29,13000,116.329397,40.191145
144,10,9000,116.627724,40.767323
145,22,15000,116.224071,39.911046
146,17,13000,116.29115,39.523796
147,9,8000,116.466603,40.343834
148,33,14000,116.17985,40.15995
149,35,13000,116.614025,39.664011
150,33,13000,116.613126,39.893214
151,31,12000,116.479989,40.086192
152,68,13000,116.418579,39.811509
153,36,16000,116.197771,39.827893
154,22,13000,116.648619,39.767129
155,7,8000,116.679099,40.381534
156,74,30000,116.344777,39.891133
157,26,13000,116.704858,39.676381
158,110,14000,116.095321,39.948262
159,29,12000,116.644839,40.023019
160,20,12000,116.821916,40.078898
161,21,12000,115.888971,39.638472
162,18,12000,116.703824,39.91737
163,36,13000,116.483976,39.687318
164,20,22000,116.21975,40.029303
165,25,30000,116.397262,39.951307
166,16,8000,116.332501,40.561238
167,8,12000,116.167035,39.734747
168,12,11000,116.733092,40.472878
169,22,14000,116.052964,39.85404
170,31,13000,116.379826,40.102993
171,18,20000,116.364938,39.852666
172,12,13000,115.9948,39.618985
173,39,14000,116.524685,39.706226
174,12,13000,116.296236,40.335092
175,36,20000,116.563537,39.897855
176,21,20000,116.403501,39.837292
177,17,20000,116.46393,39.841808
178,30,12000,116.154681,39.625182
179,22,12000,116.697063,39.962673
180,8,16000,116.291465,39.840817
181,23,12000,116.553254,40.212306
182,7,25000,116.58959,39.915285
183,22,13000,116.830534,39.75699
184,34,13000,116.778356,39.800994
185,23,35000,116.492836,40.004932
186,29,25000,116.370862,40.021073
187,22,14000,116.119367,40.146929
188,30,25000,116.500811,39.961381
189,23,10000,116.912631,40.398032
190,56,14000,116.528973,40.091297
191,22,10000,116.955987,40.267285
192,34,8000,116.02982,40.428214
193,10,20000,116.358414,39.995161
194,40,30000,116.503148,39.89792
195,16,10000,116.733092,40.472878
196,21,12000,117.161589,40.315788
197,8,14000,116.039142,40.107114
198,10,13000,116.242429,39.605862
199,35,30000,116.440907,39.917079
200,33,20000,116.21881,39.961434
201,31,13000,116.208036,39.763989
202,26,13000,116.590563,40.254356
203,32,13000,116.347249,39.779293
204,10,18000,116.322428,39.926639
205,8,22000,116.322175,39.927355
206,33,13000,116.505497,39.783121
207,17,13000,116.290748,40.254904
208,38,11000,117.127321,40.084046
209,36,13000,116.427232,40.187273
210,57,13000,116.482711,40.1777
211,39,12000,115.999491,39.721279
212,12,14000,115.876843,39.887637
213,36,20000,116.284769,39.909589
214,25,14000,116.56141,39.757955
215,7,14000,116.214235,40.337025
216,22,22000,116.25578,39.994194
217,21,35000,116.473588,39.913093
218,23,25000,116.434271,39.836689
219,31,13000,116.264255,39.69234
220,33,13000,116.670598,39.8932
221,8,9000,116.093092,40.59535
222,13,11000,116.805906,40.433259
223,17,14000,116.590473,39.807149
224,10,13000,116.68061,40.104804
225,22,14000,116.276192,40.219769
226,8,22000,116.273001,39.957087
227,21,9000,116.13924,40.392228
228,16,15000,115.712417,40.022416
229,31,16000,116.081922,40.048303
230,37,30000,116.554094,39.985481
231,31,12000,116.885937,40.119676
232,22,20000,116.273785,40.013348
233,17,20000,116.339596,40.04456
234,10,14000,115.712417,40.022416
235,38,13000,116.308336,40.069778
236,16,20000,116.345021,40.00549
237,18,12000,116.387386,39.521958
238,8,10000,117.231222,40.197327
239,35,18000,116.223133,40.080392
240,27,16000,116.251775,39.81594
241,39,14000,116.574349,40.158882
242,17,30000,116.417173,39.973401
243,21,13000,115.990261,40.311172
244,35,13000,115.980109,39.793541
245,13,20000,116.345344,39.944343
246,33,14000,116.265941,40.122166
247,30,12000,116.686938,39.756457
248,21,14000,116.425681,39.622448
249,35,12000,116.029707,39.650652
250,21,13000,116.892692,40.21718
251,85,20000,116.357644,39.982342
252,31,9000,116.237431,40.494499
253,34,14000,116.163907,40.227076
254,25,13000,116.435688,39.708185
255,12,13000,116.607437,40.116358
256,12,30000,116.560439,39.96266
257,35,14000,116.158719,39.974413
258,30,20000,116.495814,39.859281
259,31,13000,116.675657,40.169406
260,22,12000,116.986599,40.435878
261,23,13000,116.312668,39.731963
262,12,11000,116.919654,40.332133
263,10,12000,116.925522,39.792279
264,33,14000,116.326331,40.095139
265,12,12000,116.554176,40.4451
266,31,18000,116.325272,39.819533
267,34,14000,116.429669,40.070747
268,10,8000,116.146645,40.498454
269,21,25000,116.521558,40.00511
270,10,16000,116.245544,39.946147
271,7,14000,116.31304,39.668111
272,17,20000,116.441542,39.983752
273,21,13000,116.26106,40.11846
274,17,20000,116.154162,40.117222
275,38,16000,116.243072,39.887501
276,23,12000,116.922579,40.066315
277,23,8000,116.362056,40.463873
278,23,14000,116.175519,39.961535
279,26,13000,116.261985,40.116361
280,23,10000,116.60364,40.35354
281,16,30000,116.54839,39.950418
282,23,12000,116.205807,40.203988
283,17,13000,116.239284,40.116834
284,12,12000,116.448548,40.469093
285,39,14000,116.188027,39.930117
286,56,14000,116.091854,39.889891
287,39,14000,116.385432,40.18662
288,17,13000,116.388117,40.163078
289,12,22000,116.328321,39.978325
290,18,12000,116.068017,39.729508
291,12,12000,116.402891,40.0696
292,10,12000,116.741516,39.89697
293,30,13000,116.478168,39.745854
294,31,30000,116.476427,39.932834
295,31,22000,116.145627,40.064759
296,10,18000,116.251428,40.029748
297,53,13000,116.132412,39.746674
298,20,10000,117.020347,40.122878
299,16,14000,116.391745,40.162628
300,18,12000,116.606723,40.027586
301,30,20000,116.582144,39.870227
302,33,13000,115.894306,39.719943
303,10,13000,115.909507,39.846875
304,23,8000,115.982057,40.451271
305,7,13000,116.384426,40.161713
306,16,10000,115.820302,40.537833
307,38,30000,116.371077,39.925565
308,22,30000,116.432621,40.013405
309,7,20000,116.353721,40.018343
310,37,14000,116.396646,39.78218
311,23,14000,116.217845,39.653153
312,10,12000,116.795798,39.753782
313,14,20000,116.439058,39.893927
314,21,9000,116.505355,40.40154
315,34,16000,116.12456,39.830347
316,9,13000,116.198823,40.228352
317,8,14000,116.318418,39.691586
318,10,16000,116.394655,39.839727
319,32,13000,116.389767,39.590393
320,21,15000,115.961573,39.907036
321,18,16000,116.268846,40.041295
322,21,12000,116.26877,40.131596
323,30,25000,116.451812,39.849268
324,35,30000,116.328749,39.930748
325,20,13000,116.588997,40.121076
326,21,12000,116.78676,40.059315
327,10,13000,116.85294,40.059205
328,13,30000,116.569662,39.923575
329,23,13000,116.241208,40.257824
330,10,13000,116.086213,39.696682
331,21,11000,116.823937,40.329642
332,26,12000,116.669082,39.81954
333,33,12000,116.721883,40.251641
334,38,14000,116.324476,39.564071
335,12,14000,115.981967,40.057374
336,17,13000,116.444996,40.2216
337,31,13000,116.215509,40.153211
338,10,12000,116.605845,40.427429
339,13,20000,116.462656,40.068722
340,21,20000,116.378834,40.037736
341,36,14000,116.144638,40.274264
342,18,13000,116.829364,40.1291
343,23,12000,116.089922,39.594133
344,36,13000,116.595901,40.195889
345,21,12000,116.67051,40.261028
346,14,13000,116.274683,39.645207
347,16,8000,116.332501,40.561238
348,32,13000,116.728098,39.820594
349,12,12000,116.682163,40.138234
350,14,14000,116.437982,40.115582
351,10,10000,116.894142,40.6699
352,10,12000,116.513531,40.204355
353,13,13000,116.211895,40.285697
354,36,13000,116.217696,39.712535
355,7,14000,116.336971,40.340357
356,97,18000,116.352561,39.838817
357,29,12000,116.294663,40.291376
358,18,18000,116.2872,39.951274
359,10,13000,116.622474,40.025471
360,20,12000,116.076784,40.196524
361,22,16000,116.420066,39.857331
362,13,13000,116.549038,39.677206
363,31,10000,116.503407,40.306219
364,7,10000,115.961385,40.371726
365,22,10000,115.98834,40.556846
366,30,20000,116.613006,39.933811
367,31,14000,116.005387,40.1548
368,31,14000,116.464005,39.806128
369,25,14000,116.386677,40.122489
370,16,8000,116.096266,40.348453
371,13,30000,116.40897,39.935235
372,10,14000,116.711258,39.925774
373,21,14000,116.386765,39.642786
374,10,14000,116.734005,40.160941
375,34,30000,116.402291,39.996475
376,20,13000,116.512855,40.229537
377,33,12000,116.134435,39.681877
378,25,13000,116.59724,39.706903
379,20,18000,116.184776,39.807324
380,25,18000,116.293305,39.997372
381,16,12000,116.17929,40.27149
382,29,13000,116.646622,39.937374
383,23,20000,116.171636,40.011337
384,27,20000,116.50614,39.98398
385,21,13000,115.977087,39.691224
386,10,14000,116.474533,39.657633
387,22,15000,116.019033,39.875472
388,37,12000,116.369181,40.231261
389,12,13000,116.615988,40.077477
390,12,14000,116.47266,39.628208
391,10,18000,116.436295,39.852599
392,37,14000,116.493874,39.809722
393,12,12000,116.704306,40.079333
394,26,13000,116.503535,40.127985
395,7,15000,115.878718,40.10637
396,25,12000,116.538867,39.748538
397,9,13000,115.962553,39.639986
398,35,12000,116.785163,39.655273
399,10,30000,116.601687,39.929288
400,13,13000,116.434992,40.152581
401,20,18000,116.377522,39.816566
402,33,22000,116.281097,39.82957
403,10,30000,116.600043,39.928163
404,23,13000,116.661974,40.123481
405,14,13000,116.747301,40.213401
406,22,15000,116.075424,40.00097
407,13,20000,116.524573,39.965224
408,16,12000,116.829272,40.170029
409,52,22000,116.261548,40.088678
410,37,18000,116.178127,40.07308
411,25,12000,116.300248,39.666189
412,25,14000,116.146139,39.885029
413,10,20000,116.429223,39.889171
414,29,12000,116.720716,40.049458
415,17,13000,116.876467,39.767778
416,10,12000,116.207905,39.631653
417,34,18000,116.193206,39.964262
418,30,18000,116.18091,40.113235
419,9,25000,116.551355,39.886051
420,29,14000,116.771349,40.113074
421,12,13000,116.231007,39.792048
422,9,13000,116.843264,39.840192
423,31,16000,116.174554,39.858182
424,33,30000,116.560021,39.957718
425,10,9000,116.566033,40.291173
426,13,14000,116.422448,39.572287
427,10,8000,116.650608,40.411771
428,7,14000,116.12466,40.021877
429,25,12000,116.029188,39.816555
430,26,13000,116.7219,39.939652
431,16,25000,116.459483,40.036512
432,27,25000,116.557101,40.029946
433,13,30000,116.431917,39.940964
434,34,13000,116.251308,39.732544
435,16,13000,116.336971,40.340357
436,21,16000,116.293054,39.977891
437,26,14000,116.663536,39.636464
438,13,12000,116.79617,40.280537
439,31,30000,116.467209,39.9942
440,35,13000,116.272307,39.67155
441,16,25000,116.494929,39.927556
442,8,20000,116.144958,40.109743
443,10,15000,116.010959,40.0742
444,16,13000,116.086213,39.696682
445,18,30000,116.429954,39.876757
446,31,12000,116.553725,40.066043
447,9,10000,116.881331,40.33026
448,21,13000,115.939743,39.764165
449,56,30000,116.629365,39.969081
450,13,14000,116.434217,39.646605
451,18,16000,116.32152,40.007958
452,13,12000,115.938495,40.498121
453,13,30000,116.483458,39.996298
454,14,13000,116.475206,40.258993
455,22,25000,116.420389,39.994628
456,8,13000,116.534574,40.07838
457,8,16000,116.392858,39.813547
458,17,20000,116.298421,39.828085
459,12,9000,116.688118,40.3477
460,23,14000,116.44482,39.759247
461,25,30000,116.413276,39.919248
462,12,16000,116.190057,40.012443
463,12,8000,116.753748,40.324372
464,27,13000,116.349614,39.794855
465,16,12000,116.168133,39.760873
466,9,10000,116.725859,40.364976
467,39,20000,116.546715,39.855996
468,10,14000,116.33098,39.638985
469,34,13000,116.119329,40.188194
470,8,14000,116.450856,39.575654
471,22,14000,116.529679,39.773452
472,9,13000,116.29156,39.70461
473,12,14000,116.240105,39.571484
474,31,35000,116.371843,39.887796
475,8,13000,116.55679,39.635706
476,18,13000,116.309295,40.227492
477,9,12000,116.722217,40.164043
478,33,14000,116.315163,39.759838
479,17,13000,116.677258,40.063309
480,21,18000,116.26379,39.931131
481,16,10000,116.146645,40.498454
482,13,12000,116.644156,40.121209
483,16,13000,116.370801,40.141051
484,22,13000,116.846941,39.806537
485,8,14000,116.462273,40.135667
486,9,11000,116.759958,40.35843
487,23,35000,116.438836,39.870758
488,13,20000,116.281482,39.864377
489,10,13000,116.322767,39.773872
490,14,15000,116.013829,39.960492
491,10,12000,116.858611,40.186566
492,34,13000,116.62958,39.815021
493,18,13000,116.360261,40.071559
494,5,12000,116.784564,40.033449
495,22,30000,116.586569,40.045734
496,35,13000,116.360089,39.742282
497,8,12000,116.067857,39.675082
